Player,#,Nation,Pos,Age,Min,yellow_card,red_card,two_yellow_cards,fouls_committed,fouls_drawn,offsides,Crosses,Int,Tkls_won,PKwon,PK_conceded,own_goals,ball_recoveries,Aerial_Duels_won,Aerial_Duels_lost,Aerial_Duels_won%,team,opponent,player_ids,match_id,opposition
João Pedro,20.0,br BRA,FW,24-008,74,0,0,0,1,1,1,1,0,0,0,0,0,1,1,2,33.3,Chelsea,Liverpool,e8832875,780d534e,Liverpool
Marc Guiu,38.0,es ESP,FW,19-273,16,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.0,Chelsea,Liverpool,d3d774cc,780d534e,Liverpool
Alejandro Garnacho,49.0,ar ARG,LW,21-095,74,0,0,0,0,2,0,2,0,1,0,0,0,1,0,0,,Chelsea,Liverpool,7aa8adfe,780d534e,Liverpool
Jamie Gittens,11.0,eng ENG,LW,21-057,16,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,Chelsea,Liverpool,10745192,780d534e,Liverpool
Pedro Neto,7.0,pt POR,RW,25-209,74,0,0,0,1,0,0,6,1,0,0,0,0,3,0,0,,Chelsea,Liverpool,7ba2eaa9,780d534e,Liverpool
Estêvão Willian,41.0,br BRA,RW,18-163,16,0,0,0,1,0,1,3,1,1,0,0,0,3,0,0,,Chelsea,Liverpool,2eda11b1,780d534e,Liverpool
Enzo Fernández,8.0,ar ARG,AM,24-260,90,0,0,0,2,0,0,2,1,1,0,0,0,6,0,1,0.0,Chelsea,Liverpool,5ff4ab71,780d534e,Liverpool
Moisés Caicedo,25.0,ec ECU,DM,23-336,90,0,0,0,1,0,0,0,1,2,0,0,0,5,1,0,100.0,Chelsea,Liverpool,16264a81,780d534e,Liverpool
Malo Gusto,27.0,fr FRA,"DM,RB",22-138,90,0,0,0,1,0,0,2,0,0,0,0,0,9,0,0,,Chelsea,Liverpool,d56b9520,780d534e,Liverpool
Marc Cucurella,3.0,es ESP,LB,27-074,90,0,0,0,0,3,0,3,2,2,0,0,0,4,0,1,0.0,Chelsea,Liverpool,1daec722,780d534e,Liverpool
