Player,#,Nation,Pos,Age,Min,Total_passes_cmp,Total_passes_att,Total_passes_cmp%,TotPassDist,PrgPassDist,Short_passes_cmp,Short_passes_att,Short_passes_cmp%,Med_passes_cmp,Med_passes_att,Med_passes_cmp%,Long_passes_cmp,Long_passes_att,Long_passes_cmp%,Ast,xAG,xA,key_passes,passes_into_final_third,passes_into_pen_area,crosses_into_pen_area,progressive_passes,team,opponent,player_ids,match_id
João Pedro,20.0,br BRA,FW,24-008,74,8,13,61.5,115,4,5,6,83.3,3,4,75.0,0,1,0.0,0,0.0,0.0,0,1,0,0,0,Chelsea,Liverpool,e8832875,780d534e
Marc Guiu,38.0,es ESP,FW,19-273,16,0,1,0.0,0,0,0,0,,0,0,,0,1,0.0,0,0.0,0.0,0,0,0,0,0,Chelsea,Liverpool,d3d774cc,780d534e
Alejandro Garnacho,49.0,ar ARG,LW,21-095,74,20,23,87.0,275,24,12,12,100.0,6,8,75.0,1,2,50.0,0,0.0,0.0,0,0,0,0,1,Chelsea,Liverpool,7aa8adfe,780d534e
Jamie Gittens,11.0,eng ENG,LW,21-057,16,6,7,85.7,98,23,5,5,100.0,0,0,,1,1,100.0,0,0.0,0.0,0,0,0,0,1,Chelsea,Liverpool,10745192,780d534e
Pedro Neto,7.0,pt POR,RW,25-209,74,18,25,72.0,237,41,11,12,91.7,4,7,57.1,1,4,25.0,0,0.0,0.0,0,0,0,0,1,Chelsea,Liverpool,7ba2eaa9,780d534e
Estêvão Willian,41.0,br BRA,RW,18-163,16,13,18,72.2,233,100,5,6,83.3,8,10,80.0,0,2,0.0,0,0.4,0.2,2,0,2,2,0,Chelsea,Liverpool,2eda11b1,780d534e
Enzo Fernández,8.0,ar ARG,AM,24-260,90,36,48,75.0,547,104,21,22,95.5,10,11,90.9,4,10,40.0,0,0.0,0.0,1,4,2,0,7,Chelsea,Liverpool,5ff4ab71,780d534e
Moisés Caicedo,25.0,ec ECU,DM,23-336,90,45,51,88.2,628,181,30,32,93.8,14,15,93.3,1,2,50.0,0,0.0,0.0,0,1,0,0,3,Chelsea,Liverpool,16264a81,780d534e
Malo Gusto,27.0,fr FRA,"DM,RB",22-138,90,53,63,84.1,948,128,21,22,95.5,25,30,83.3,6,6,100.0,1,0.0,0.0,1,3,1,0,5,Chelsea,Liverpool,d56b9520,780d534e
Marc Cucurella,3.0,es ESP,LB,27-074,90,45,54,83.3,711,239,24,28,85.7,14,16,87.5,4,7,57.1,1,0.5,0.6,3,8,1,0,9,Chelsea,Liverpool,1daec722,780d534e
Benoît Badiashile,5.0,fr FRA,CB,24-192,54,45,48,93.8,833,399,19,20,95.0,20,20,100.0,6,8,75.0,0,0.0,0.0,0,5,1,0,3,Chelsea,Liverpool,06df8256,780d534e
Roméo Lavia,45.0,be BEL,DM,21-271,36,17,19,89.5,359,89,4,5,80.0,9,10,90.0,3,3,100.0,0,0.0,0.0,0,3,0,0,4,Chelsea,Liverpool,ecad9aa5,780d534e
Joshua Acheampong,34.0,eng ENG,CB,19-152,67,35,45,77.8,593,117,14,18,77.8,20,22,90.9,1,4,25.0,0,0.0,0.0,0,0,0,0,1,Chelsea,Liverpool,b7e62e1d,780d534e
Jorrel Hato,21.0,nl NED,CB,19-211,23,16,17,94.1,237,107,8,9,88.9,8,8,100.0,0,0,,0,0.0,0.0,0,0,0,0,1,Chelsea,Liverpool,bde35051,780d534e
Reece James,24.0,eng ENG,"RB,CB",25-300,90,55,67,82.1,1016,210,20,22,90.9,28,30,93.3,6,13,46.2,0,0.0,0.1,2,3,1,0,2,Chelsea,Liverpool,1265a93a,780d534e
Robert Sánchez,1.0,es ESP,GK,27-320,90,37,56,66.1,1016,698,11,11,100.0,14,14,100.0,12,31,38.7,0,0.0,0.0,0,2,0,0,0,Chelsea,Liverpool,6a713852,780d534e
