Player,#,Nation,Pos,Age,Min,Total_touches,Def_pen_touches,Def_3rd_touches,Mid_3rd_touches,Att_3rd_touches,Att_pen_touches,Live_touches,take_ons_att,take_ons_succ,take_ons_succ%,Tkld_during_take_ons,Tkld%_during_take_ons,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Passes_received,Progressive_passes_received,team,opponent,player_ids,match_id,opposition
João Pedro,20.0,br BRA,FW,24-008,74,15,0,1,9,5,1,15,0,0,,0,,9,81,52,3,2,0,0,1,13,6,Chelsea,Liverpool,e8832875,780d534e,Liverpool
Marc Guiu,38.0,es ESP,FW,19-273,16,2,0,0,1,1,1,2,0,0,,0,,1,3,0,0,0,0,0,0,2,0,Chelsea,Liverpool,d3d774cc,780d534e,Liverpool
Alejandro Garnacho,49.0,ar ARG,LW,21-095,74,30,0,1,7,22,4,30,5,2,40.0,2,40.0,25,203,103,5,2,2,2,1,28,12,Chelsea,Liverpool,7aa8adfe,780d534e,Liverpool
Jamie Gittens,11.0,eng ENG,LW,21-057,16,9,1,2,2,5,3,9,1,1,100.0,0,0.0,7,98,61,4,1,2,0,1,7,2,Chelsea,Liverpool,10745192,780d534e,Liverpool
Pedro Neto,7.0,pt POR,RW,25-209,74,30,0,3,7,22,1,30,2,2,100.0,0,0.0,13,147,105,2,2,0,2,1,17,2,Chelsea,Liverpool,7ba2eaa9,780d534e,Liverpool
Estêvão Willian,41.0,br BRA,RW,18-163,16,24,1,3,3,20,3,24,3,0,0.0,3,100.0,13,82,55,1,2,1,0,0,14,2,Chelsea,Liverpool,2eda11b1,780d534e,Liverpool
Enzo Fernández,8.0,ar ARG,AM,24-260,90,62,1,13,30,21,3,62,2,0,0.0,2,100.0,34,150,68,1,1,0,4,2,47,4,Chelsea,Liverpool,5ff4ab71,780d534e,Liverpool
Moisés Caicedo,25.0,ec ECU,DM,23-336,90,64,3,17,31,16,1,64,1,0,0.0,1,100.0,29,139,82,0,2,0,1,1,41,0,Chelsea,Liverpool,16264a81,780d534e,Liverpool
Malo Gusto,27.0,fr FRA,"DM,RB",22-138,90,70,3,17,34,21,1,70,0,0,,0,,39,165,100,3,2,0,2,0,45,4,Chelsea,Liverpool,d56b9520,780d534e,Liverpool
Marc Cucurella,3.0,es ESP,LB,27-074,90,66,3,17,30,19,3,66,0,0,,0,,33,216,155,6,2,1,0,0,40,4,Chelsea,Liverpool,1daec722,780d534e,Liverpool
Benoît Badiashile,5.0,fr FRA,CB,24-192,54,54,10,29,22,3,0,54,0,0,,0,,34,156,80,0,0,0,1,0,36,0,Chelsea,Liverpool,06df8256,780d534e,Liverpool
Roméo Lavia,45.0,be BEL,DM,21-271,36,23,1,5,12,6,0,23,1,1,100.0,0,0.0,15,74,39,1,1,0,1,1,16,0,Chelsea,Liverpool,ecad9aa5,780d534e,Liverpool
Joshua Acheampong,34.0,eng ENG,CB,19-152,67,48,6,21,27,1,0,48,0,0,,0,,25,125,59,1,1,0,0,0,34,0,Chelsea,Liverpool,b7e62e1d,780d534e,Liverpool
